// Cantrips
// -----------------
// Clairvoyance						AGTT_Shout_Clairvoyance_GM
// Detect Magic (Ritual)			AGTT_Shout_DetectMagic_GM
// Detect Poison and Disease		AGTT_Shout_DetectPoison_GM
// Mental Interference				AGTT_Target_MentalInterference_Psychic	AGTT_Target_MentalInterference_Force
// Project Object					AGTT_Teleportation_ProjectObject
// Psychic Howl						AGTT_Target_PsychicHowl
// Spectral Shield					AGTT_Shout_SpectralShield

// Game Master mode only, probably
data "FormatColor" "Purple"
data "StatusEffect" "VFX_Script_Stub_OverlayMaterial_01"
data "StackId" "AGTT_STATUS_DETECTED_DISEASE"
data "StatusPropertyFlags" "ForGameMaster"

new entry "AGTT_STATUS_DETECTED_POISON"
type "StatusData"
data "StatusType" "BOOST"
data "DisplayName" "Poison Detected"
data "Description" "This creature has detected Poison in the vicinity"
data "Icon" "statIcons_Pure"
data "FormatColor" "Purple"
data "StatusEffect" "VFX_Script_Stub_OverlayMaterial_01"
data "StackId" "AGTT_STATUS_DETECTED_POISON"
data "StatusPropertyFlags" "ForGameMaster"

new entry "AGTT_Target_MentalInterference_Psychic"
type "SpellData"
using "AGTT_Mysticism_Attack"
data "SpellType" "Target"
data "Level" "0"
data "SpellSchool" "Mysticism"
data "Icon" "Spell_Divination_DetectThoughts"
data "DisplayName" "Mental Interference"
data "Description" "Pointing a finger at the target, you worm into the target's mind from afar. On hit, you deal [1]."
data "DescriptionParams" "DealDamage(1d8,Psychic)"
data "TooltipDamageList" "DealDamage(1d8,Psychic)"
data "TooltipAttackSave" "RangedSpellAttack"
data "TargetRadius" "18"
data "SpellRoll" "Attack(AttackType.RangedSpellAttack)"
data "SpellSuccess" "DealDamage(1d8,Psychic)"
data "MemoryCost" "1"
data "UseCosts" "ActionPoint:1"
data "CastTextEvent" "Cast"
data "CastSound" "Spell_Cast_Debuff_Bane_L1to3"
data "TargetSound" "Spell_Impact_Debuff_Bane_L1to3"
data "TargetConditions" "not Self() and not Dead()"
data "CycleConditions" "Enemy() and not Dead()"
data "PrepareEffect" "VFX_Spells_Prepare_Arcane_Intent_Debuff_R_HandFX_01:Dummy_R_HandFX::0:None::None::0:0::::;VFX_Spells_Prepare_Arcane_Intent_Debuff_R_HandFX_Textkey_01:Dummy_R_HandFX:VFX_Prepare_01:0:None::None::0:0::::;VFX_Spells_Prepare_Arcane_Intent_Debuff_L_HandFX_Textkey_01:Dummy_L_HandFX:VFX_Prepare_01:0:None::None::0:0::::;VFX_Spells_Prepare_Arcane_Intent_Debuff_EyeFX_01:Dummy_EyeFX_01,Dummy_EyeFX_02:VFX_Prepare_01:0:None::None::0:0::::;VFX_Spells_Prepare_Arcane_Intent_Debuff_Bane_Root_01,KeepRot,Detach:Dummy_Root::0:None::None::0:0::::;VFX_Spells_Prepare_Arcane_Intent_Debuff_Bane_L_HandFX_Textkey_01:Dummy_L_HandFX:VFX_Prepare_01:0:None::None::0:0::::"
data "CastEffect" "VFX_Spells_Cast_Intent_Debuff_TargetAoE_CastFX_Textkey_01:Dummy_CastFX:VFX_Somatic_01:0:None::None::0:0::::;VFX_Spells_Cast_Intent_Debuff_TargetAoE_CastFX_PostProcess_Textkey_01:Dummy_CastFX:VFX_Somatic_01:0:None::None::0:0::::;VFX_Spells_Cast_Intent_Debuff_TargetAoE_CastFX_Textkey_02:Dummy_CastFX:Cast:0:None::None::0:0::::"
data "TargetEffect" "VFX_Spells_Cast_Intent_Debuff_TargetAoE_Impact_BodyFX_Textkey_01:Dummy_BodyFX:Cast:0:None::None::0:0::::;VFX_Sound_Spell_TargetEffect_Debuff_Bane_01:Dummy_Root:Cast:0:None::None::0:0::::"
data "PositionEffect" "VFX_Spells_Cast_Intent_Debuff_TargetAoE_Impact_Textkey_01::VFX_Somatic_01:0:None::None::0:0::::;VFX_Spells_Cast_Intent_Debuff_TargetAoE_Impact_Textkey_02::Cast:0:None::None::0:0::::;VFX_Spells_Cast_Intent_Debuff_TargetAoE_Impact_PostProcess_Textkey_01::Cast:0:None::None::0:0::::"
data "SpellAnimationArcaneMagic" "9313094a-bae2-454f-9701-f920d0e8e98d(SPL_Arcane_Debuff_Combat_01_Prepare);;09ae2f11-f5b4-42f5-ae16-687a5b57d500(SPL_Somatic_Aoe_Combat_01_Cast);10caea0e-c949-4d91-8ab7-3b50019dd054(SPL_Somatic_Aoe_Combat_01_Recover);;"
data "SpellAnimationDivineMagic" "9313094a-bae2-454f-9701-f920d0e8e98d(SPL_Arcane_Debuff_Combat_01_Prepare);;09ae2f11-f5b4-42f5-ae16-687a5b57d500(SPL_Somatic_Aoe_Combat_01_Cast);10caea0e-c949-4d91-8ab7-3b50019dd054(SPL_Somatic_Aoe_Combat_01_Recover);;"
data "SpellAnimationNoneMagic" "9313094a-bae2-454f-9701-f920d0e8e98d(SPL_Arcane_Debuff_Combat_01_Prepare);;09ae2f11-f5b4-42f5-ae16-687a5b57d500(SPL_Somatic_Aoe_Combat_01_Cast);10caea0e-c949-4d91-8ab7-3b50019dd054(SPL_Somatic_Aoe_Combat_01_Recover);;"
data "SpellFlags" "HasSomaticComponent;IsSpell;IsHarmful"

new entry "AGTT_Target_MentalInterference_Force"
type "SpellData"
using "AGTT_Mysticism_Attack"
data "SpellType" "Target"
data "Level" "0"
data "SpellSchool" "Mysticism"
data "Icon" "Spell_Divination_DetectThoughts"
data "DisplayName" "Mental Interference"
data "Description" "Pointing a finger at the target, you worm into the target's mind from afar. On hit, you deal [1]."
data "DescriptionParams" "DealDamage(1d8,Force)"
data "TooltipDamageList" "DealDamage(1d8,Force)"
data "TooltipAttackSave" "RangedSpellAttack"
data "SpellRoll" "Attack(AttackType.RangedSpellAttack)"
data "TargetRadius" "18"
data "SpellSuccess" "DealDamage(1d8,Force)"
data "MemoryCost" "1"
data "UseCosts" "ActionPoint:1"
data "CastTextEvent" "Cast"
data "CastSound" "Spell_Cast_Debuff_Bane_L1to3"
data "TargetSound" "Spell_Impact_Debuff_Bane_L1to3"
data "TargetConditions" "not Self() and not Dead()"
data "CycleConditions" "Enemy() and not Dead()"
data "PrepareEffect" "VFX_Spells_Prepare_Arcane_Intent_Debuff_R_HandFX_01:Dummy_R_HandFX::0:None::None::0:0::::;VFX_Spells_Prepare_Arcane_Intent_Debuff_R_HandFX_Textkey_01:Dummy_R_HandFX:VFX_Prepare_01:0:None::None::0:0::::;VFX_Spells_Prepare_Arcane_Intent_Debuff_L_HandFX_Textkey_01:Dummy_L_HandFX:VFX_Prepare_01:0:None::None::0:0::::;VFX_Spells_Prepare_Arcane_Intent_Debuff_EyeFX_01:Dummy_EyeFX_01,Dummy_EyeFX_02:VFX_Prepare_01:0:None::None::0:0::::;VFX_Spells_Prepare_Arcane_Intent_Debuff_Bane_Root_01,KeepRot,Detach:Dummy_Root::0:None::None::0:0::::;VFX_Spells_Prepare_Arcane_Intent_Debuff_Bane_L_HandFX_Textkey_01:Dummy_L_HandFX:VFX_Prepare_01:0:None::None::0:0::::"
data "CastEffect" "VFX_Spells_Cast_Intent_Debuff_TargetAoE_CastFX_Textkey_01:Dummy_CastFX:VFX_Somatic_01:0:None::None::0:0::::;VFX_Spells_Cast_Intent_Debuff_TargetAoE_CastFX_PostProcess_Textkey_01:Dummy_CastFX:VFX_Somatic_01:0:None::None::0:0::::;VFX_Spells_Cast_Intent_Debuff_TargetAoE_CastFX_Textkey_02:Dummy_CastFX:Cast:0:None::None::0:0::::"
data "TargetEffect" "VFX_Spells_Cast_Intent_Debuff_TargetAoE_Impact_BodyFX_Textkey_01:Dummy_BodyFX:Cast:0:None::None::0:0::::;VFX_Sound_Spell_TargetEffect_Debuff_Bane_01:Dummy_Root:Cast:0:None::None::0:0::::"
data "PositionEffect" "VFX_Spells_Cast_Intent_Debuff_TargetAoE_Impact_Textkey_01::VFX_Somatic_01:0:None::None::0:0::::;VFX_Spells_Cast_Intent_Debuff_TargetAoE_Impact_Textkey_02::Cast:0:None::None::0:0::::;VFX_Spells_Cast_Intent_Debuff_TargetAoE_Impact_PostProcess_Textkey_01::Cast:0:None::None::0:0::::"
data "SpellAnimationArcaneMagic" "9313094a-bae2-454f-9701-f920d0e8e98d(SPL_Arcane_Debuff_Combat_01_Prepare);;09ae2f11-f5b4-42f5-ae16-687a5b57d500(SPL_Somatic_Aoe_Combat_01_Cast);10caea0e-c949-4d91-8ab7-3b50019dd054(SPL_Somatic_Aoe_Combat_01_Recover);;"
data "SpellAnimationDivineMagic" "9313094a-bae2-454f-9701-f920d0e8e98d(SPL_Arcane_Debuff_Combat_01_Prepare);;09ae2f11-f5b4-42f5-ae16-687a5b57d500(SPL_Somatic_Aoe_Combat_01_Cast);10caea0e-c949-4d91-8ab7-3b50019dd054(SPL_Somatic_Aoe_Combat_01_Recover);;"
data "SpellAnimationNoneMagic" "9313094a-bae2-454f-9701-f920d0e8e98d(SPL_Arcane_Debuff_Combat_01_Prepare);;09ae2f11-f5b4-42f5-ae16-687a5b57d500(SPL_Somatic_Aoe_Combat_01_Cast);10caea0e-c949-4d91-8ab7-3b50019dd054(SPL_Somatic_Aoe_Combat_01_Recover);;"
data "SpellFlags" "HasSomaticComponent;IsSpell;IsHarmful"

// This is gonna be fun. Throw, but Teleport
new entry "AGTT_Teleportation_ProjectObject"
type "SpellData"
data "SpellType" "Teleportation"
data "Level" "0"
data "SpellSchool" "Mysticism"
data "Icon" "Skill_Air_Teleportation"
data "DisplayName" "Project Object"
data "Description" "Your force of will moves any nearby object a short distance away."
data "TeleportSelf" "No"
data "TeleportSurface" "No"
data "TargetConditions" "Item()"
data "TargetRadius" "9"
data "AreaRadius" "9"
data "Height" "0"
data "PrepareEffect" "VFX_Spells_Prepare_Arcane_Intent_Healing_HandFX_01,KeepRot:Dummy_R_HandFX::0:None::None::0:0::::;VFX_Spells_Prepare_Arcane_Intent_Healing_HandFX_01,KeepRot:Dummy_L_HandFX::0:None::None::0:0::::;VFX_Spells_Prepare_Arcane_Intent_Healing_CastFX_01:Dummy_CastFX::0:None::None::0:0::::;VFX_Spells_Prepare_Arcane_Intent_Healing_CastFX_Textkey_01:Dummy_CastFX:VFX_Prepare_01:0:None::None::0:0::::;VFX_Spells_Prepare_Arcane_Intent_Healing_Root_Textkey_01,Detach:Dummy_Root:VFX_Prepare_01:0:None::None::0:0::::;VFX_Sound_Spell_Prepare_Intent_Heal_01:Dummy_Root::0:None::None::0:0::::"
data "CastEffect" "VFX_Spells_Cast_Intent_Healing_ShoutAoe_Rise_CastFX_01:Dummy_CastFX::0:None::None::0:0::::;VFX_Spells_Cast_Intent_Healing_ShoutAoE_Rise_CastFX_Textkey_01:Dummy_CastFX:Cast:0:None::None::0:0::::"
data "DisappearEffect" "VFX_Spells_Cast_Intent_Healing_TargetSingle_Impact_Root_Textkey_01:Dummy_Root:Cast:0:None::None::0:0::::;VFX_Spells_Cast_Intent_Healing_Teleportation_Impact_BodyFX_01:Dummy_BodyFX:VFX_Somatic_03:0:None::None::0:0::::"
data "PreviewCursor" "Cast"
data "CastTextEvent" "Cast"
data "UseCosts" "ActionPoint:1"
data "SpellAnimationArcaneMagic" "414bbf02-2918-4f01-83fb-1ddc7a588d88(SPL_Arcane_Healing_Combat_01_Prepare);;7abe77ed-9c77-4eac-872c-5b8caed070b6(SPL_Somatic_Aoe_Rise_Combat_01_Cast);cb171bda-f065-4520-b470-e447f678ba1f(SPL_Somatic_Aoe_Rise_Combat_01_Recover);;"
data "SpellAnimationDivineMagic" "414bbf02-2918-4f01-83fb-1ddc7a588d88(SPL_Arcane_Healing_Combat_01_Prepare);;7abe77ed-9c77-4eac-872c-5b8caed070b6(SPL_Somatic_Aoe_Rise_Combat_01_Cast);cb171bda-f065-4520-b470-e447f678ba1f(SPL_Somatic_Aoe_Rise_Combat_01_Recover);;"
data "SpellAnimationNoneMagic" "414bbf02-2918-4f01-83fb-1ddc7a588d88(SPL_Arcane_Healing_Combat_01_Prepare);;7abe77ed-9c77-4eac-872c-5b8caed070b6(SPL_Somatic_Aoe_Rise_Combat_01_Cast);cb171bda-f065-4520-b470-e447f678ba1f(SPL_Somatic_Aoe_Rise_Combat_01_Recover);;"
data "SpellFlags" "HasSomaticComponent;IsSpell;RangeIgnoreVerticalThreshold"

new entry "AGTT_Target_PsychicHowl"
type "SpellData"
data "SpellType" "Target"
data "Level" "0"
data "SpellSchool" "Mysticism"
data "Icon" "unknown"
data "DisplayName" "Psychic Howl"
data "Description" "In a moment, you change the winds direction around a specific area. All creatures within its radius must make an Intelligence saving throw or take [1] Damage. If they succeed, they only take half."
data "TargetRadius" "18"
data "AreaRadius" "2"
data "ExplodeRadius" "2"
data "SpellRoll" "not SavingThrow(Ability.Intelligence, SourceSpellDC())"
data "DescriptionParams" "DealDamage(1d6,Psychic)"
data "TooltipDamageList" "DealDamage(1d6,Psychic)"
data "SpellSuccess" "DealDamage(1d6,Psychic)"
data "SpellFail" "DealDamage((1d6)/2,Psychic)"
data "TooltipAttackSave" "Wisdom"
data "CastTextEvent" "Cast"
data "UseCosts" "ActionPoint:1"
data "PrepareEffect" "VFX_Spells_Prepare_Arcane_Damage_Psychic_R_HandFX_01:Dummy_R_HandFX::0:None::None::0:0::::;VFX_Spells_Prepare_Arcane_Damage_Psychic_R_HandFX_Textkey_01:Dummy_R_HandFX:VFX_Prepare_01:0:None::None::0:0::::"
data "CastEffect" "VFX_Spells_Cast_Damage_Psychic_TargetSingle_HandFX_Textkey_01:Dummy_R_HandFX:VFX_Somatic_01:0:None::None::0:0::::"
data "TargetEffect" "VFX_Spells_Cast_Damage_Psychic_TargetSingle_HeadFX_Textkey_02:Dummy_HeadFX:VFX_Somatic_02:0:None::None::0:0::::;VFX_Spells_Cast_Damage_Psychic_TargetSingle_HeadFX_PostFX_Textkey_02:Dummy_HeadFX:VFX_Somatic_02:0:None::None::0:0::::"
data "SpellAnimationArcaneMagic" "3ff87abf-1ea1-4c32-aadf-c822d74c7dc0(SPL_Arcane_Damage_Combat_01_Prepare);;af94aac1-d8eb-4ccb-9520-694ade11b61c(SPL_Somatic_Target_Snap_Combat_01_Cast);f5db4001-b136-4c48-9aa4-026c4a7dd3b7(SPL_Somatic_Target_Snap_Combat_01_Recover);;"
data "SpellAnimationDivineMagic" "3ff87abf-1ea1-4c32-aadf-c822d74c7dc0(SPL_Arcane_Damage_Combat_01_Prepare);;af94aac1-d8eb-4ccb-9520-694ade11b61c(SPL_Somatic_Target_Snap_Combat_01_Cast);f5db4001-b136-4c48-9aa4-026c4a7dd3b7(SPL_Somatic_Target_Snap_Combat_01_Recover);;"
data "SpellAnimationNoneMagic" "3ff87abf-1ea1-4c32-aadf-c822d74c7dc0(SPL_Arcane_Damage_Combat_01_Prepare);;af94aac1-d8eb-4ccb-9520-694ade11b61c(SPL_Somatic_Target_Snap_Combat_01_Cast);f5db4001-b136-4c48-9aa4-026c4a7dd3b7(SPL_Somatic_Target_Snap_Combat_01_Recover);;"
data "SpellFlags" "HasSomaticComponent;IsSpell;IsHarmful"
data "MemoryCost" "1"

new entry "AGTT_Shout_SpectralShield"
type "SpellData"
data "SpellType" "Shout"
data "Level" "0"
data "SpellSchool" "Mysticism"
data "Icon" unknown"
data "DisplayName" "Spectral Shield"
data "Description" "You increase your AC by +1 until the beginning of your next turn. In addition, if you are the target of Magic Missiles, the attack automatically misses."
data "SpellProperties" "ApplyStatus(AGTT_STATUS_SPECTRALSHIELD,100,1)"
data "TargetConditions" "Self()"
data "PrepareEffect" "VFX_Spells_Prepare_Arcane_Intent_Buff_Root_01,KeepRot:Dummy_Root::0:None::None::0:0::::;VFX_Spells_Prepare_Arcane_Intent_Buff_HandFX_01:Dummy_L_HandFX,Dummy_R_HandFX::0:None::None::0:0::::;VFX_Spells_Prepare_Arcane_Intent_Buff_BodyFX_Textkey_01:Dummy_BodyFX:VFX_Prepare_01:0:None::None::0:0::::;VFX_Spells_Prepare_Arcane_Intent_Buff_Root_Textkey_01,KeepRot:Dummy_Root:VFX_Prepare_01:0:None::None::0:0::::;VFX_Sound_Spell_Prepare_Intent_Buff_01:Dummy_Root::0:None::None::0:0::::"
data "CastEffect" "VFX_Spells_Cast_Intent_Buff_TargetSingle_R_HandFX_01:Dummy_R_HandFX::0:None::None::0:0::::;VFX_Spells_Cast_Intent_Buff_TargetSingle_R_HandFX_Textkey_01,Detach:Dummy_R_HandFX:Cast:0:None::None::0:0::::"
data "TargetEffect" "VFX_Spells_Cast_Intent_Buff_TargetSingle_Impact_Root_01:Dummy_Root:Cast:0:None::None::0:0::::;VFX_Spells_Cast_Intent_Buff_TargetSingle_Impact_PostProcess_Textkey_01:Cast::0:None::None::0:0::::;VFX_Sound_Spell_ShieldOfFaith_Impact_01:Cast::0:None::None::0:0::::"
data "PreviewCursor" "Cast"
data "CastSelfAnimation" "efbf3ee5-7340-4b29-8ab5-113b004a8e7b(SPL_Somatic_Self_Touch_Combat_01_Cast)"
data "CastTextEvent" "Cast"
data "CastSound" "Spell_Cast_Buff_ShieldOfFaith_L1to3"
data "TargetSound" "Spell_Impact_Buff_ShieldOfFaith_L1to3"
data "UseCosts" "ActionPoint:1"
data "SpellAnimationArcaneMagic" "03496c4a-49e0-4132-b585-3e5ecd1ad8e5(SPL_Arcane_Buff_Combat_01_Prepare);;ab7b6aac-b3c9-4918-8f17-f777a94dcb5e(SPL_Somatic_Target_Combat_01_Cast);57211a11-ed0b-46d7-9369-81df25a85df6(SPL_Somatic_Target_Combat_01_Recover);;"
data "SpellAnimationDivineMagic" "03496c4a-49e0-4132-b585-3e5ecd1ad8e5(SPL_Arcane_Buff_Combat_01_Prepare);;ab7b6aac-b3c9-4918-8f17-f777a94dcb5e(SPL_Somatic_Target_Combat_01_Cast);57211a11-ed0b-46d7-9369-81df25a85df6(SPL_Somatic_Target_Combat_01_Recover);;"
data "SpellAnimationNoneMagic" "03496c4a-49e0-4132-b585-3e5ecd1ad8e5(SPL_Arcane_Buff_Combat_01_Prepare);;ab7b6aac-b3c9-4918-8f17-f777a94dcb5e(SPL_Somatic_Target_Combat_01_Cast);57211a11-ed0b-46d7-9369-81df25a85df6(SPL_Somatic_Target_Combat_01_Recover);;"
data "SpellFlags" "HasSomaticComponent;IsSpell;CannotTargetTerrain"
data "MemoryCost" "1"

new entry "AGTT_STATUS_SPECTRALSHIELD"
type "StatusData"
data "StatusType" "BOOST"
data "DisplayName" "Spectral Shield"
data "Description" "A thin layer of Magicka protects your body, improving your AC by +1"
data "Icon" "Spell_Abjuration_ShieldOfFaith"
data "StatusEffect" "VFX_Status_Buff_01"
data "StackId" "AGTT_STATUS_SPECTRALSHIELD"
data "TickType" "StartTurn"
data "Boosts" "AC(1)"

// 1st Level Spells
// -----------------
// Appraising Touch				AGTT_AppraisingTouch_GM
// Brand						AGTT_Target_Brand
// Command						AGTT_Target_Command_Halt
// Create Air
// Detect Life					AGTT_Shout_DetectLife_GM
// Dispel						AGTT_Target_Dispel
// Identify						AGTT_Target_Identify
// Mage Armor					AGTT_Mage_Armor
// Nightshield					AGTT_Shout_Nightshield
// Pester						AGTT_Target_Pester
// Prophesized Strike
// See Hidden Doors
// Smoke Ladder
// Wieldskill

new entry "AGTT_AppraisingTouch_GM
type "SpellData"
data "SpellType" "Shout"
data "Level" "1"
data "SpellSchool" "Mysticism"
data "DisplayName" "Appraising Touch"
data "Description" "For the duration of the spell, while holding an item, you have advantage on all Intelligence checks relating to it."
data "Icon" "unknown"
data "TargetConditions" "Self()"
data "SpellProperties" "ApplyStatus(AGTT_STATUS_APPRAISINGTOUCH),100,85"
data "CastEffect" "VFX_Spells_Cast_Intent_Whitebox_ShoutSelf_Cast_Root_01,Detach:Dummy_BodyFX::0:None::None::0:0::::;VFX_Spells_Cast_Intent_Whitebox_ShoutSelf_Impact_01:Dummy_Root:Cast:0:None::None::0:0::::"
data "CastTextEvent" "Cast"
data "UseCosts" "ActionPoint:1;SpellSlot:1:1:1"
data "MemoryCost" "1"
data "SpellFlags" "IsSpell;IsConcentration;HasSomaticComponent;IsConcentration"

new entry "AGTT_STATUS_APPRAISINGTOUCH"
type "StatusData"
data "StatusType" "BOOST"
data "DisplayName" "Appraising Touch"
data "Description" "This creature has advantage on Intelligence checks relating to an item they hold."
data "Icon" "unknown"
data "FormatColor" "LightBlue"
data "StatusEffect" "VFX_Script_Stub_Loop_01:Dummy_OverheadFX"
data "AuraRadius" "10"
data "StatusPropertyFlags" "ForGameMaster;DisableCombatlog"

// May need further looking at - you should _always_ know where they are
new entry "AGTT_Target_Brand"
type "SpellData"
data "SpellType" "Target"
data "Level" "1"
data "SpellSchool" "Mysticism"
data "DisplayName" "Brand"
data "Description" "You point at a creature within 30 feet. For the duration of the spell, the creature must succeed a Wisdom saving throw, or you will know exactly where the creature is, even if they become hidden or turn invisible."
data "SpellRoll" "not SavingThrow(Ability.Wisdom, SourceSpellDC())"
data "SpellSuccess" "ApplyStatus(AGTT_STATUS_BRAND,100,18)"
data "TargetConditions" "not Dead() and not Item() and not (not Player(context.Source)"
data "TooltipStatusApply" "ApplyStatus(AGTT_STATUS_BRAND,100,18)"
data "TooltipAttackSave" "Wisdom"
data "UseCosts" "ActionPoint:1;SpellSlot:1:1:1"
data "PrepareEffect" "VFX_Spells_Prepare_Arcane_Intent_Control_CastFX_Textkey_01:Dummy_CastFX:VFX_Prepare_01:0:None::None::0:0::::;VFX_Spells_Prepare_Arcane_Intent_Control_CastFX_01:Dummy_CastFX::0:None::None::0:0::::;VFX_Spells_Prepare_Arcane_Intent_Control_EyeFX_01:Dummy_EyeFX_01,Dummy_EyeFX_02::0:None::None::0:0::::"
data "CastEffect" "VFX_Spells_Cast_Intent_Control_TargetAoE_CastFX_Textkey_01:Dummy_CastFX::0:None::None::0:0::::;VFX_Spells_Cast_Intent_Control_TargetAoE_CastFX_Textkey_02:Dummy_CastFX:Cast:0:None::None::0:0::::"
data "TargetEffect" "VFX_Spells_Cast_Intent_Control_TargetAoE_Impact_EyeFX_Textkey_01:Dummy_EyeFX_01,Dummy_EyeFX_02:Cast:0:None::None::0:0::::;VFX_Spells_Cast_Intent_Control_TargetAoE_Impact_HeadFX_Textkey_01:Dummy_HeadFX:Cast:0:None::None::0:0::::;VFX_Sound_Spell_TargetEffect_Control_Sleep_01:Dummy_Root:Cast:0:None::None::0:0::::"
